iter	Passed	Remaining
0	540	539491
1	664	331434
2	719	239189
3	779	194127
4	831	165511
5	893	148092
6	952	135162
7	1012	125501
8	1078	118772
9	1149	113798
10	1214	109196
11	1296	106727
12	1353	102755
13	1407	99111
14	1463	96127
15	1528	94014
16	1584	91644
17	1633	89105
18	1686	87076
19	1740	85305
20	1791	83538
21	1867	83002
22	1924	81757
23	2002	81428
24	2060	80378
25	2123	79556
26	2187	78843
27	2244	77912
28	2310	77346
29	2366	76508
30	2417	75579
31	2479	74992
32	2539	74418
33	2599	73869
34	2648	73026
35	2706	72464
36	2757	71760
37	2810	71159
38	2877	70901
39	2935	70445
40	3002	70226
41	3060	69812
42	3131	69683
43	3188	69286
44	3247	68920
45	3305	68546
46	3373	68405
47	3435	68130
48	3487	67694
49	3564	67729
50	3630	67551
51	3692	67312
52	3761	67202
53	3822	66967
54	3880	66676
55	3940	66426
56	4002	66223
57	4060	65955
58	4118	65687
59	4177	65448
60	4245	65351
61	4304	65123
62	4380	65157
63	4452	65111
64	4524	65076
65	4585	64887
66	4653	64797
67	4709	64542
68	4769	64352
69	4827	64139
70	4891	64009
71	4968	64035
72	5052	64163
73	5147	64411
74	5247	64713
75	5310	64570
76	5369	64370
77	5452	64452
78	5518	64338
79	5589	64283
80	5649	64095
81	5712	63950
82	5758	63620
83	5806	63320
84	5858	63063
85	5914	62854
86	5976	62714
87	6030	62502
88	6098	62419
89	6152	62207
90	6217	62107
91	6294	62126
92	6365	62077
93	6430	61974
94	6499	61919
95	6557	61745
96	6613	61570
97	6672	61415
98	6724	61196
99	6779	61018
100	6836	60849
101	6893	60693
102	6947	60506
103	7004	60342
104	7065	60223
105	7122	60069
106	7178	59911
107	7227	59693
108	7284	59546
109	7344	59423
110	7399	59261
111	7454	59106
112	7514	58985
113	7583	58936
114	7651	58879
115	7705	58721
116	7764	58595
117	7818	58442
118	7871	58277
119	7934	58187
120	7983	57998
121	8051	57946
122	8122	57915
123	8194	57888
124	8260	57821
125	8330	57781
126	8395	57708
127	8462	57652
128	8539	57658
129	8602	57569
130	8669	57509
131	8742	57489
132	8805	57403
133	8887	57439
134	8983	57561
135	9043	57455
136	9103	57346
137	9159	57214
138	9215	57084
139	9268	56935
140	9322	56791
141	9372	56632
142	9422	56470
143	9497	56454
144	9556	56352
145	9607	56195
146	9656	56032
147	9704	55865
148	9749	55684
149	9793	55495
150	9838	55314
151	9883	55139
152	9929	54970
153	9980	54826
154	10025	54653
155	10070	54482
156	10115	54316
157	10160	54147
158	10211	54011
159	10255	53840
160	10296	53656
161	10340	53489
162	10385	53327
163	10427	53155
164	10474	53009
165	10523	52871
166	10569	52719
167	10612	52558
168	10657	52405
169	10703	52259
170	10746	52099
171	10793	51959
172	10836	51800
173	10900	51748
174	10944	51597
175	10990	51456
176	11036	51318
177	11086	51198
178	11130	51050
179	11178	50923
180	11224	50788
181	11268	50644
182	11316	50523
183	11363	50395
184	11413	50281
185	11459	50151
186	11503	50012
187	11560	49929
188	11608	49810
189	11655	49690
190	11702	49565
191	11749	49446
192	11810	49383
193	11875	49338
194	11929	49246
195	11987	49172
196	12045	49098
197	12102	49020
198	12157	48935
199	12213	48855
200	12266	48761
201	12317	48659
202	12365	48548
203	12415	48443
204	12506	48500
205	12609	48603
206	12683	48590
207	12759	48583
208	12821	48526
209	12891	48498
210	12959	48461
211	13040	48472
212	13110	48442
213	13159	48332
214	13213	48245
215	13279	48197
216	13327	48090
217	13375	47981
218	13426	47882
219	13479	47792
220	13545	47747
221	13613	47708
222	13678	47661
223	13748	47627
224	13814	47583
225	13878	47532
226	13939	47467
227	13997	47395
228	14050	47306
229	14121	47276
230	14185	47222
231	14245	47157
232	14310	47106
233	14372	47047
234	14429	46972
235	14482	46883
236	14540	46811
237	14598	46738
238	14651	46650
239	14705	46565
240	14778	46544
241	14831	46456
242	14894	46401
243	14959	46351
244	15016	46276
245	15078	46215
246	15136	46146
247	15192	46066
248	15259	46024
249	15316	45949
250	15367	45859
251	15413	45751
252	15472	45683
253	15524	45597
254	15579	45515
255	15639	45451
256	15708	45414
257	15764	45337
258	15826	45278
259	15888	45221
260	15948	45157
261	16016	45116
262	16077	45052
263	16145	45012
264	16210	44960
265	16281	44927
266	16385	44982
267	16442	44909
268	16495	44826
269	16557	44767
270	16610	44683
271	16667	44609
272	16721	44528
273	16772	44441
274	16822	44350
275	16870	44255
276	16923	44171
277	16968	44069
278	17012	43965
279	17057	43861
280	17105	43769
281	17153	43674
282	17194	43564
283	17238	43460
284	17284	43361
285	17330	43264
286	17372	43157
287	17415	43055
288	17463	42963
289	17511	42873
290	17555	42773
291	17601	42677
292	17651	42592
293	17697	42498
294	17748	42416
295	17798	42331
296	17843	42236
297	17891	42148
298	17938	42055
299	17984	41964
300	18028	41867
301	18072	41769
302	18114	41669
303	18159	41575
304	18203	41480
305	18248	41387
306	18293	41294
307	18336	41198
308	18382	41107
309	18428	41018
310	18475	40931
311	18524	40849
312	18567	40753
313	18610	40659
314	18654	40565
315	18700	40479
316	18753	40406
317	18796	40311
318	18840	40221
319	18884	40130
320	18930	40042
321	18972	39948
322	19015	39856
323	19063	39774
324	19106	39682
325	19150	39592
326	19193	39502
327	19238	39414
328	19281	39324
329	19323	39232
330	19369	39147
331	19411	39057
332	19456	38971
333	19499	38882
334	19550	38808
335	19595	38725
336	19639	38638
337	19683	38551
338	19726	38464
339	19770	38378
340	19814	38292
341	19856	38204
342	19900	38119
343	19945	38035
344	19987	37946
345	20031	37862
346	20077	37783
347	20124	37704
348	20171	37625
349	20212	37537
350	20254	37450
351	20298	37367
352	20341	37283
353	20385	37201
354	20431	37121
355	20477	37042
356	20524	36967
357	20568	36886
358	20618	36814
359	20662	36734
360	20706	36652
361	20749	36570
362	20795	36492
363	20838	36410
364	20882	36329
365	20934	36263
366	20978	36184
367	21023	36104
368	21066	36023
369	21108	35940
370	21155	35867
371	21198	35786
372	21241	35706
373	21282	35623
374	21326	35543
375	21370	35465
376	21414	35388
377	21456	35306
378	21502	35232
379	21543	35150
380	21587	35073
381	21631	34994
382	21678	34923
383	21722	34846
384	21766	34769
385	21808	34689
386	21851	34612
387	21894	34534
388	21937	34457
389	21980	34379
390	22025	34305
391	22068	34228
392	22113	34155
393	22156	34077
394	22204	34010
395	22249	33935
396	22292	33860
397	22336	33784
398	22378	33708
399	22424	33637
400	22468	33562
401	22516	33494
402	22563	33424
403	22608	33353
404	22652	33279
405	22698	33209
406	22745	33139
407	22786	33063
408	22828	32986
409	22871	32913
410	22915	32840
411	22958	32766
412	23001	32692
413	23044	32618
414	23086	32543
415	23130	32471
416	23175	32401
417	23219	32329
418	23266	32262
419	23310	32190
420	23355	32120
421	23400	32050
422	23442	31977
423	23485	31904
424	23533	31839
425	23578	31769
426	23621	31698
427	23666	31628
428	23708	31555
429	23751	31484
430	23800	31420
431	23843	31350
432	23887	31280
433	23930	31208
434	23974	31139
435	24018	31070
436	24064	31003
437	24107	30932
438	24153	30865
439	24197	30797
440	24242	30729
441	24288	30662
442	24334	30596
443	24378	30528
444	24422	30459
445	24465	30389
446	24511	30324
447	24554	30254
448	24597	30185
449	24642	30118
450	24685	30049
451	24729	29981
452	24774	29914
453	24819	29848
